movieID,title,year,posterLink
deadpool,Deadpool,2016,https://a.ltrbxd.com/resized/film-poster/2/2/0/5/7/5/220575-deadpool-0-230-0-345-crop.jpg?v=2f726ea9b3
coraline,Coraline,2009,https://a.ltrbxd.com/resized/film-poster/4/2/7/7/9/42779-coraline-0-230-0-345-crop.jpg?v=b792483e2a
black-panther,Black Panther,2018,https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/3/209383-black-panther-0-230-0-345-crop.jpg?v=d6e7e2c7a4
wicked-2024,Wicked,2024,https://a.ltrbxd.com/resized/film-poster/3/3/7/0/3/6/337036-wicked-2024-0-230-0-345-crop.jpg?v=c519c37ff7
harry-potter-and-the-prisoner-of-azkaban,Harry Potter and the Prisoner of Azkaban,2004,https://a.ltrbxd.com/resized/sm/upload/a3/0q/kf/h8/jUFjMoLh8T2CWzHUSjKCojI5SHu-0-230-0-345-crop.jpg?v=6285ee260e
nosferatu-2024,Nosferatu,2024,https://a.ltrbxd.com/resized/film-poster/3/5/9/5/0/5/359505-nosferatu-2024-0-230-0-345-crop.jpg?v=a12d4ad648
up,Up,2009,https://a.ltrbxd.com/resized/film-poster/4/3/3/0/2/43302-up-0-230-0-345-crop.jpg?v=eac6a19a4c
howls-moving-castle,Howl's Moving Castle,2004,https://a.ltrbxd.com/resized/film-poster/4/9/0/6/2/49062-howl-s-moving-castle-0-230-0-345-crop.jpg?v=fde81bda52
aftersun,Aftersun,2022,https://a.ltrbxd.com/resized/film-poster/8/6/8/5/5/8/868558-aftersun-0-230-0-345-crop.jpg?v=5ce2118fca
mad-max-fury-road,Mad Max: Fury Road,2015,https://a.ltrbxd.com/resized/film-poster/6/2/7/8/0/62780-mad-max-fury-road-0-230-0-345-crop.jpg?v=37c5424b1f
little-miss-sunshine,Little Miss Sunshine,2006,https://a.ltrbxd.com/resized/sm/upload/h6/xm/om/q7/dOeM4R55TsAFBXCPNIDDMiJkePr-0-230-0-345-crop.jpg?v=09383296c6
anatomy-of-a-fall,Anatomy of a Fall,2023,https://a.ltrbxd.com/resized/film-poster/8/2/2/0/9/3/822093-anatomy-of-a-fall-0-230-0-345-crop.jpg?v=4efab8aedc
harry-potter-and-the-philosophers-stone,Harry Potter and the Philosopher's Stone,2001,https://a.ltrbxd.com/resized/sm/upload/5t/cj/6w/6e/harrypotter2-0-230-0-345-crop.jpg?v=0053b4ed93
back-to-the-future,Back to the Future,1985,https://a.ltrbxd.com/resized/film-poster/5/1/9/4/5/51945-back-to-the-future-0-230-0-345-crop.jpg?v=6662417358
the-hunger-games,The Hunger Games,2012,https://a.ltrbxd.com/resized/sm/upload/x3/tw/wu/z4/vAkjFEm76Lu5hSevquxPgQ91OtI-0-230-0-345-crop.jpg?v=f4bfaf16df
dont-look-up-2021,Don't Look Up,2021,https://a.ltrbxd.com/resized/film-poster/5/7/2/2/5/5/572255-don-t-look-up-0-230-0-345-crop.jpg?v=a58cc4aba2
goodfellas,GoodFellas,1990,https://a.ltrbxd.com/resized/film-poster/5/1/3/8/3/51383-goodfellas-0-230-0-345-crop.jpg?v=c6c265f228
drive-2011,Drive,2011,https://a.ltrbxd.com/resized/sm/upload/6d/6l/r3/e9/nu7XIa67cXc2t7frXCE5voXUJcN.jpg-0-230-0-345-crop.jpg?v=58a476ae28
star-wars,Star Wars,1977,https://a.ltrbxd.com/resized/film-poster/2/7/0/6/2706-star-wars-0-230-0-345-crop.jpg?v=f1f1271bf5
us-2019,Us,2019,https://a.ltrbxd.com/resized/film-poster/3/9/0/5/2/0/390520-us-0-230-0-345-crop.jpg?v=968884c876
